Iteration,Best_Length,Current_Length,Tabu_Size
80,15101.240359533544,15101.240359533544,19
81,15033.038241313849,15033.038241313849,19
82,14978.416421412063,14978.416421412063,19
83,14913.423044720837,14913.423044720837,19
84,14839.320169654426,14839.320169654426,19
85,14749.028146659673,14749.028146659673,19
86,14678.995480099424,14678.995480099424,19
87,14599.01633338688,14599.01633338688,19
88,14558.86847711945,14558.86847711945,19
89,14509.10498182345,14509.10498182345,19
90,14432.168125244414,14432.168125244414,19
91,14359.455162598759,14359.455162598759,19
92,14303.243485842355,14303.243485842355,19
93,14237.236512989417,14237.236512989417,19
94,14133.722615891355,14133.722615891355,19
95,14072.962967412615,14072.962967412615,19
96,14002.906355615298,14002.906355615298,19
97,13943.116513067234,13943.116513067234,19
98,13890.204772097171,13890.204772097171,19
99,13858.792452265276,13858.792452265276,19
100,13769.94087335145,13769.94087335145,19
101,13716.70238963261,13716.70238963261,19
102,13668.11420774023,13668.11420774023,19
103,13616.206005161694,13616.206005161694,19
104,13552.413613147419,13552.413613147419,19
105,13479.90099849553,13479.90099849553,19
106,13432.208329487275,13432.208329487275,19
107,13362.722034501494,13362.722034501494,19
108,13316.126358288599,13316.126358288599,19
109,13252.586148142518,13252.586148142518,19
110,13214.209181809025,13214.209181809025,19
111,13174.338168691194,13174.338168691194,19
112,13111.280577891195,13111.280577891195,19
113,13077.078722445944,13077.078722445944,19
114,13026.607364912003,13026.607364912003,19
115,12980.403726305074,12980.403726305074,19
116,12921.809293501596,12921.809293501596,19
117,12869.827375422683,12869.827375422683,19
118,12822.026011817394,12822.026011817394,19
119,12739.068905464865,12739.068905464865,19
120,12686.190430799747,12686.190430799747,19
121,12642.838608900896,12642.838608900896,19
122,12601.74907628862,12601.74907628862,19
123,12553.6441070238,12553.6441070238,19
124,12516.842459303534,12516.842459303534,19
125,12477.94748520599,12477.94748520599,19
126,12422.059205269654,12422.059205269654,19
127,12372.30257581964,12372.30257581964,19
128,12337.256689890697,12337.256689890697,19
129,12305.341107305585,12305.341107305585,19
130,12262.972260216337,12262.972260216337,19
131,12232.0793639003,12232.0793639003,19
132,12182.60739159688,12182.60739159688,19
133,12140.16515981304,12140.16515981304,19
134,12109.724322178256,12109.724322178256,19
135,12065.91620348965,12065.91620348965,19
136,12004.778445546075,12004.778445546075,19
137,11971.77335310074,11971.77335310074,19
138,11932.441357698393,11932.441357698393,19
139,11891.687370171807,11891.687370171807,19
140,11844.306906362945,11844.306906362945,19
141,11826.069644733507,11826.069644733507,19
142,11783.886608998004,11783.886608998004,19
143,11740.191197237784,11740.191197237784,19
144,11710.98064313716,11710.98064313716,19
145,11669.5399522854,11669.5399522854,19
146,11629.975710725214,11629.975710725214,19
